Date    Mistakes

2023-07-26	hito
2023-07-26	akachan,onnanohito
2023-07-27	bengoshi,tsume,tekubi
2023-07-27	semi,tai,katsuo,niwatori,aji,dobutsu,ga,saba,hae,tokage,hitsuji,hotaru,ga,kaigara,gokiburi,sanma,washi,saba,cho,semi,shishi,katatsumuri,kai,ka,tonbo,kaeru,katsuo,gama,tonbo,iwashi,shika,maguro,katatsumuri,kirin,sanma,tako,maguro,tai,hae,niwatori,namekuji,kai,aji,mimizu,kirin,hitsuji,hebi,ryu, tatsu,iwashi,shika,shishi,ka,mimizu,kaigara,namekuji,tokage,taka,taka,ika,gama,tako,semi,tai,katsuo,aji,saba,hae,tokage,hitsuji,kaigara,gokiburi,saba,semi,katatsumuri,kai,tonbo,katsuo,gama,tonbo,iwashi,shika,maguro,katatsumuri,kirin,maguro,tai,hae,kai,aji,hitsuji,ryu, tatsu,iwashi,shika,kaigara,tokage,taka,ika,gama,semi,tai,katsuo,aji,saba,hae,tokage,hitsuji,kaigara,gokiburi,saba,semi,kai,tonbo,katsuo,gama,tonbo,iwashi,shika,maguro,maguro,tai,hae,kai,aji,hitsuji,ryu, tatsu,iwashi,shika,kaigara,tokage,semi,tai,katsuo,aji,saba,tokage,hitsuji,kaigara,gokiburi,saba,semi,tonbo,gama,iwashi,shika,maguro,tai,aji,hitsuji,iwashi,shika,kaigara,tokage,tai,aji,saba,tokage,hitsuji,gokiburi,saba,semi,iwashi,shika,maguro,tai,aji,iwashi,shika,saba,saba,iwashi,maguro,saba,saba,iwashi
2023-07-27	maguro,katsuo,tai,kaeru,saba,saba,iwashi,nezumi,semi,tonbo,washi,dobutsu,taka,tai,maguro,saba,saba
2023-07-27	kohi,nomimono
2023-07-27	nomimono
2023-07-27	"ocha" => 1
2023-07-27	"nomimono" => 4,"mizu" => 2,"ocha" => 2,"gyunyu" => 3,"kohi" => 2,"cha" => 2,"wain" => 3,"biru" => 2
2023-07-27	"nomimono" => Dict{String, Any}("answers" => SubString{String}[""], "count" => 1),"mizu" => Dict{String, Any}("answers" => SubString{String}["gb"], "count" => 1),"ocha" => Dict{String, Any}("answers" => SubString{String}["g", ""], "count" => 2),"gyunyu" => Dict{String, Any}("answers" => SubString{String}["hj", "g"], "count" => 2),"cha" => Dict{String, Any}("answers" => SubString{String}["gg", "b"], "count" => 2),"kohi" => Dict{String, Any}("answers" => SubString{String}[""], "count" => 1),"wain" => Dict{String, Any}("answers" => SubString{String}["b", ""], "count" => 2),"biru" => Dict{String, Any}("answers" => SubString{String}[""], "count" => 1)
2023-07-27	"nomimono" => Dict{String, Any}("answers" => SubString{String}["g"], "count" => 1),"mizu" => Dict{String, Any}("answers" => SubString{String}["g", "g"], "count" => 2),"ocha" => Dict{String, Any}("answers" => SubString{String}["ffdvsreg", "vtrsv"], "count" => 2),"gyunyu" => Dict{String, Any}("answers" => SubString{String}["", "vse"], "count" => 2),"kohi" => Dict{String, Any}("answers" => SubString{String}["", ""], "count" => 2),"wain" => Dict{String, Any}("answers" => SubString{String}["g"], "count" => 1),"biru" => Dict{String, Any}("answers" => SubString{String}["", "g"], "count" => 2)
2023-07-27	"nomimono" => Dict{String, Any}("answers" => SubString{String}["", "re"], "count" => 2),"mizu" => Dict{String, Any}("answers" => SubString{String}["g", "v", "r"], "count" => 3),"ocha" => Dict{String, Any}("answers" => SubString{String}["vr", "", "vre"], "count" => 3),"gyunyu" => Dict{String, Any}("answers" => SubString{String}["", "ref", "re"], "count" => 3),"cha" => Dict{String, Any}("answers" => SubString{String}["dccrvr", "ref", "vre"], "count" => 3),"kohi" => Dict{String, Any}("answers" => SubString{String}["sts", "rf"], "count" => 2),"wain" => Dict{String, Any}("answers" => SubString{String}["g", "vvv", "r"], "count" => 3),"biru" => Dict{String, Any}("answers" => SubString{String}["wtgwre", "rf"], "count" => 2)
